id;descricao;ativo;atualizacao
1;Sala;1;2017-10-27 10:17:38.583
2;Varanda;1;NULL
3;Área de serviço;1;2018-02-06 13:59:47.050
4;Banheiro;1;2018-02-06 13:59:57.843
5;Área externa;1;2018-02-06 14:00:08.607
6;Corredor;1;2018-02-06 14:00:17.750
7;Copa;1;2018-02-06 14:00:26.580
8;Cozinha;1;2018-02-06 14:00:38.233
10;Closet;1;2018-02-06 14:01:13.490
11;Hall da escada;1;2018-02-06 14:01:25.127
12;Lavabo;1;2018-02-06 14:01:41.523
13;Mezanino;1;2018-02-06 14:01:50.103
15;Quarto;1;2018-02-06 14:02:10.777
16;Terraço;1;2018-02-06 14:02:36.780
17;Chaves;1;2018-03-27 15:45:49.173
